bvid,title,pic,duration,pub_seconds_ago,view_count,danmaku_count,uploader_name,uploader_follower
BV1eZ421n7Bd,【灵若内群9-3】朱竹清原皮裁剪-AI自制,//i2.hdslb.com/bfs/archive/dc0f0f4e06137380ba1d6b34dfa513789228f7f5.jpg,1:1,35879668,58800,11,灵若AI,16899
BV1XxMgz9EkE,AI视频换脸，是真的变态！,//i0.hdslb.com/bfs/archive/4681c93c4c6e974959155b45ff949328ab5b1df8.jpg,2:25,289319,24484,38,万能老王啊,206464
BV1dy75z8ECB,AI还原妄想山海经，用了最新技术，打个分,//i1.hdslb.com/bfs/archive/085dfb7a3b6015e64b9b479cc974290795190cf5.jpg,2:0,1585651,644602,824,红点AI,6258
BV1pCjqziEYp,【全188集】2025 最新发布！即梦AI3.0独家保姆级教程来啦！AI绘画+图生视频完整流程详解！设计师必学的首款AI软件,//i0.hdslb.com/bfs/archive/7254226ebf81f864f08a03f565e23d5c43997e45.png,64:9,1682643,5555,148,小雨Ai绘画日记,565
BV1McTMzgEmp,ai山海经动画第一集,//i2.hdslb.com/bfs/archive/44ec7df56a3387c50f8c2dd9f094e1c6516db5be.jpg,10:59,913082,487230,1087,重庆高级军统,9983
BV1oG5CzPEGk,安妙依舞蹈,//i2.hdslb.com/bfs/archive/b475d7793d241eaf53c7b3b8457e126b599fb590.jpg,0:32,5159278,12384,4,AI绘画_林,5141
BV15UM1zdEva,【逆天豆包】豆包图生视频出檫边视频仍未修复！生成视频难道不做二次审核吗？之前出檫边图我以为就够离谱了，没想到还有更逆天的！,//i0.hdslb.com/bfs/archive/52b065f61f1be18593964d2f256591834ba92add.jpg,0:34,229732,22123,103,AI塑造未来,24818
BV1rqNbzEEDD,【B站超全！2025最新大模型AI Agent实战课】从入门到精通全覆盖！Agent+RAG+LangChain全知识点解析，学完少走99%弯路！,//i0.hdslb.com/bfs/archive/cab2c9895da490939afd32c9ce311ada6f13c0b2.jpg,1193:34,27604,490,106,AI拓荒者,2274
BV1WST4zJEXA,我又要创业了！,//i0.hdslb.com/bfs/archive/6c886f85e004a66c3c0a317a18adf3ef1ceaeb28.jpg,16:54,931925,1064405,14092,王自如AI,55205
BV1q5M7zLEwU,【全99集】即梦AI3.0独家保姆级教程！目前B站最全最细的AI视频制作教程！AI绘画+图生视频+脚本+剪辑完整流程详解！包含所有干货！七天就能从小白到大神！,//i2.hdslb.com/bfs/archive/e8c960120c91c0d20c56c131cefee214676678ee.png,653:35,478096,2738,71,B站-AI绘画教程,80
BV1FF7Nz6EU8,如果AI来执导复仇者联盟,//i1.hdslb.com/bfs/archive/7ba2174653620e4fb4bca1c396dfdf1c8ee4fba5.jpg,1:41,1421470,85314,76,雷文德斯岳不群,6083
BV1zYTZzhEhR,开发者模式让ai星欲爆满说啊好爽,//i0.hdslb.com/bfs/archive/6237efec752dcc0d3e03fbf15519b98304bd113c.jpg,1:36,422851,34087,18,整整整114514口,130
BV1cPTazxEWB,即梦AI太贵了，有没有可替代的？,//i1.hdslb.com/bfs/archive/eeb7405f9bf46b40e0341916d592e8bcf5ac39d1.jpg,1:50,659098,7636,2,可依软件,142
BV1xnMuzuEVX,AI生成的切石头ASMR,//i0.hdslb.com/bfs/archive/b5bc1b05242ee23657b063512ddb09d48c9703b1.jpg,4:33,289083,129242,172,七海悠仁,176083
